"","playlist","acou","dance","energy","loud","speech","tempo","val"
"144",0,0.506,0.5,0.258,0.903278403408844,0.0328,0.663835796765268,0.191
"145",0,0.896,0.332,0.413,0.918039914778903,0.0367,0.961773670992849,0.595
"147",0,0.0254,0.386,0.594,0.925453280577416,0.0565,0.398743681664526,0.187
"150",0,0.621,0.728,0.563,0.884864559328666,0.134,0.310392423748634,0.352
"151",0,0.954,0.52,0.312,0.894147571633549,0.0283,0.297343583255053,0.27
"152",0,0.241,0.672,0.623,0.936040697421627,0.0297,0.259277009885679,0.617
"153",0,0.00239,0.429,0.661,0.902821861820079,0.0281,0.779102684533737,0.285
"154",0,0.282,0.463,0.388,0.856298099917388,0.0437,0.165960546747695,0.166
"157",0,0.0294,0.591,0.649,0.913844080177399,0.0417,0.246394315255385,0.489
"158",0,0.839,0.617,0.328,0.839384321057437,0.0304,0.436970010671677,0.321
"160",0,0.97,0.549,0.371,0.852102265315883,0.0378,0.227364223683454,0.13
"163",0,0.36,0.617,0.84,0.971607461193965,0.0512,0.276262229294072,0.57
"165",0,0.789,0.638,0.338,0.774490195225879,0.0298,0.470601767536376,0.525
"166",0,0.928,0.409,0.137,0.860602634897169,0.0446,0.706988989641445,0.106
"167",0,0.112,0.722,0.901,0.980368711683117,0.105,0.587625967320387,0.963
"168",0,0.113,0.499,0.601,0.919626940301752,0.0304,0.591351468793334,0.483
"169",0,0.0733,0.382,0.416,0.857689464759337,0.0302,0.323632971007547,0.125
"171",0,0.637,0.646,0.431,0.874777164224531,0.0262,0.246598802471739,0.292
"172",0,0.603,0.609,0.445,0.861472237923388,0.106,0.427819207739841,0.166
"174",0,0.977,0.369,0.3,0.943432323144484,0.0298,0.620989334713622,0.216
"176",0,0.644,0.604,0.37,0.891908343841037,0.0315,0.40498693198883,0.288
"177",0,0.0118,0.513,0.768,0.954106700291317,0.0587,0.209727201272933,0.235
"178",0,0.865,0.349,0.327,0.876429409974347,0.0292,0.628676776003425,0.339
"180",0,0.573,0.668,0.361,0.871016131136136,0.0273,0.528509991117587,0.288
"181",0,0.855,0.655,0.461,0.849210835253707,0.0275,0.278690514988274,0.695
"182",0,0.741,0.54,0.285,0.84138440801774,0.0475,0.232252746199413,0.434
"184",0,0.242,0.705,0.469,0.897756424192356,0.0771,0.195317242745496,0.552
"185",0,0.777,0.46,0.461,0.949628244706292,0.0291,0.181277917297701,0.451
"188",0,0.858,0.616,0.265,0.759402582720988,0.0274,0.322169609365515,0.194
"189",0,0.12,0.862,0.663,0.864189747380321,0.21,0.216398596706478,0.837
"191",0,0.302,0.447,0.602,0.864363667985565,0.219,0.725910447379688,0.35
"193",0,0.95,0.566,0.226,0.924714118005131,0.0339,0.296155001309996,0.316
"194",0,0.506,0.752,0.426,0.870690030001304,0.0346,0.527896529468525,0.355
"195",0,0.00132,0.736,0.811,0.96928127309883,0.081,0.332662359654672,0.609
"196",0,0.177,0.511,0.658,0.910713509283012,0.0368,0.642786393931842,0.433
"197",0,0.82,0.416,0.226,0.822231401365277,0.0338,0.558556831470583,0.178
"198",0,0.81,0.575,0.184,0.783425366320275,0.0388,0.476589408840238,0.147
"199",0,0.0208,0.583,0.786,0.991630070872647,0.0301,0.457591268395862,0.573
"201",0,0.155,0.554,0.513,0.934453671898778,0.0286,0.55334879767907,0.169
"203",0,0.823,0.703,0.207,0.880255663289708,0.028,0.284288352535961,0.505
"204",0,0.000618,0.574,0.911,0.947410756989434,0.0715,0.297982605806159,0.573
"206",0,0.658,0.459,0.412,0.876190269142137,0.0281,0.53831259705155,0.291
