acou0,acou1,dance0,dance1,energy0,energy1,loud0,loud1,speech0,speech1,tempo0,tempo1,val0,val1
0.96,0.979,0.698,0.184,0.243,0.157,-11.103,-17.417,0.033,0.044,82.037,170.643,0.485,0.0805
0.858,0.993,0.527,0.261,0.322,0.0275,-9.754,-28.488,0.0275,0.0408,82.865,138.825,0.285,0.0624
0.476,0.969,0.792,0.223,0.635,0.158,-6.776,-22.688,0.0678,0.0407,111.989,151.513,0.841,0.0373
0.779,0.966,0.587,0.0691,0.299,0.0188,-7.365,-31.77,0.0263,0.0433,94.992,75.967,0.356,0.0368
0.246,0.987,0.566,0.189,0.417,0.00371,-8.711,-36.368,0.0247,0.0359,139.987,69.082,0.205,0.0737
0.0649,0.985,0.663,0.345,0.712,0.0085,-4.945,-25.382,0.0381,0.049,122.014,129.6,0.48,0.0518
0.609,0.967,0.821,0.176,0.241,0.0131,-9.881,-26.833,0.0388,0.0411,93.024,94.923,0.487,0.0541
0.246,0.833,0.255,0.0794,0.652,0.00755,-5.909,-33.585,0.0614,0.0591,189.633,83.165,0.281,0.0304
0.0868,0.903,0.412,0.359,0.619,0.188,-6.39,-20.331,0.0725,0.0556,95.977,75.968,0.234,0.266
0.441,0.97,0.26,0.314,0.478,0.0193,-7.742,-28.565,0.0349,0.045,198.391,122.048,0.278,0.126
0.941,0.863,0.485,0.197,0.109,0.133,-16.847,-24.248,0.0317,0.0484,131.071,125.682,0.214,0.0389
0.421,0.994,0.38,0.368,0.553,0.0224,-6.621,-31.261,0.0653,0.0364,179.629,98.118,0.384,0.247
0.346,0.964,0.778,0.183,0.547,0.0303,-7.273,-27.999,0.0489,0.0448,95.002,69.003,0.441,0.0422
0.935,0.945,0.314,0.248,0.286,0.0674,-10.191,-21.739,0.035,0.0383,172.021,80.909,0.278,0.152
0.952,0.853,0.379,0.217,0.29,0.0653,-8.485,-20.894,0.051,0.0398,166.467,96.77,0.169,0.0496
0.271,0.848,0.547,0.14,0.559,0.0347,-8.528,-24.935,0.026,0.0414,149.932,83.087,0.223,0.0378
0.95,0.978,0.688,0.132,0.296,0.0083,-11.064,-30.221,0.0872,0.0616,89.091,80.347,0.478,0.0391
0.822,0.92,0.609,0.239,0.442,0.132,-6.628,-16.569,0.0269,0.0358,138.134,140.618,0.247,0.11
0.879,0.939,0.409,0.156,0.141,0.0335,-10.092,-25.684,0.0331,0.0411,153.238,67.197,0.302,0.0359
9.24E-05,0.97,0.547,0.0959,0.693,0.00665,-8.786,-32.248,0.0353,0.0487,119.567,88.202,0.583,0.0661
0.734,0.952,0.514,0.655,0.178,0.103,-10.379,-30.665,0.0301,0.0763,146.904,101.981,0.391,0.964
0.737,0.996,0.364,0.427,0.311,0.0067,-6.937,-34.741,0.0323,0.0587,199.53,83.576,0.345,0.0397
0.0505,0.977,0.855,0.419,0.587,0.134,-4.589,-23.015,0.0336,0.0323,111.97,143.937,0.64,0.531
0.535,0.972,0.752,0.235,0.505,0.101,-7.621,-20.776,0.253,0.0477,91.97,177.51,0.419,0.046
0.446,0.975,0.521,0.258,0.411,0.11,-9.641,-33.099,0.0272,0.0473,142.093,115.666,0.145,0.654
0.249,0.983,0.653,0.302,0.677,0.0397,-12.244,-23.152,0.0396,0.0384,114.37,131.693,0.888,0.0396
0.132,0.928,0.439,0.171,0.489,0.0149,-6.286,-30.881,0.0368,0.0428,143.808,126.164,0.253,0.0391
