acou0,acou1,dance0,dance1,energy0,energy1,loud0,loud1,speech0,speech1,tempo0,tempo1,val0,val1
0.0189,0.967,0.596,0.146,0.838,0.0238,-6.52,-25.983,0.0704,0.0389,94.982,72.39,0.472,0.0398
0.598,0.883,0.667,0.502,0.199,0.258,-10.409,-21.347,0.0518,0.0497,163.652,92.434,0.668,0.4
0.323,0.979,0.56,0.209,0.825,0.0215,-3.862,-30.466,0.0379,0.043,94.931,87.861,0.268,0.164
0.722,0.966,0.707,0.245,0.412,0.137,-9.406,-17.533,0.0308,0.0379,114.031,139.998,0.354,0.066
0.565,0.995,0.857,0.348,0.517,0.0185,-6.972,-33.304,0.0384,0.0474,129.063,134.557,0.754,0.1
0.863,0.679,0.54,0.11,0.226,0.0594,-11.049,-19.474,0.0787,0.0384,96.157,83.951,0.401,0.0951
0.236,0.995,0.824,0.453,0.978,0.00715,-9.244,-33.859,0.0616,0.0709,127.997,135.407,0.78,0.257
0.355,0.985,0.761,0.229,0.386,0.0765,-6.158,-24.674,0.0399,0.0532,134.943,133.499,0.526,0.072
0.596,0.959,0.743,0.279,0.517,0.302,-5.917,-15.506,0.0304,0.0396,119.974,139.347,0.71,0.167
0.562,0.945,0.592,0.149,0.637,0.293,-8.48,-14.837,0.0992,0.0373,159.701,84.694,0.565,0.124
0.324,0.974,0.711,0.114,0.247,0.00658,-12.662,-32.34,0.0284,0.0436,104.983,77.587,0.491,0.032
0.129,0.954,0.456,0.169,0.342,0.137,-8.162,-20.632,0.0283,0.032,84.087,90.246,0.224,0.0558
0.418,0.991,0.886,0.224,0.578,0.0988,-8.826,-28.538,0.0381,0.0382,114.015,95.355,0.69,0.277
0.325,0.959,0.615,0.149,0.472,0.0511,-6.073,-25.398,0.0267,0.0442,80.072,81.422,0.327,0.0537
0.913,0.992,0.33,0.24,0.225,0.0772,-11.144,-25.605,0.0329,0.0475,184.248,67.19,0.104,0.0325
0.568,0.945,0.479,0.396,0.419,0.126,-6.517,-23.011,0.0389,0.0465,85.014,97.813,0.186,0.11
0.511,0.95,0.618,0.235,0.377,0.0561,-6.723,-23.311,0.033,0.0442,169.974,107.619,0.303,0.0518
0.0259,0.976,0.518,0.128,0.575,0.0159,-4.616,-34.595,0.0302,0.0399,120.019,74.524,0.209,0.0373
0.0155,0.964,0.497,0.0668,0.852,0.0245,-5.517,-23.951,0.0405,0.0503,138.8,65.235,0.713,0.0326
0.00474,0.987,0.841,0.622,0.741,0.00597,-6.222,-29.051,0.0392,0.175,122.984,103.473,0.97,0.212
0.819,0.77,0.673,0.0595,0.362,0.00228,-8.95,-34.34,0.0441,0.0536,78.051,65.182,0.599,0.0205
0.358,0.971,0.595,0.209,0.608,0.157,-5.303,-18.821,0.0373,0.0391,60.878,106.24,0.452,0.0338
0.192,0.966,0.612,0.386,0.738,0.199,-6.648,-17.309,0.0479,0.0488,81.327,145.79,0.883,0.163
0.129,0.97,0.662,0.18,0.65,0.0951,-5.981,-24.228,0.0383,0.048,117.992,75.667,0.481,0.0527
0.874,0.931,0.544,0.194,0.301,0.101,-7.6,-21.772,0.0265,0.048,135.699,91.74,0.251,0.074
0.0707,0.981,0.587,0.165,0.647,0.0519,-6.161,-25.473,0.0295,0.0512,207.933,76.891,0.815,0.0398
0.213,0.981,0.558,0.578,0.723,0.0303,-6.363,-26.833,0.0294,0.0468,77.993,114.515,0.7,0.52
0.527,0.994,0.405,0.261,0.944,0.0788,-8.473,-24.446,0.249,0.0494,192.147,64.166,0.71,0.143
0.915,0.968,0.463,0.176,0.198,0.0416,-11.003,-26.636,0.0387,0.0402,123.63,86.704,0.369,0.074
0.655,0.987,0.702,0.165,0.436,0.0644,-9.95,-27.652,0.032,0.0428,118.034,109.708,0.461,0.0713
0.952,0.955,0.523,0.0919,0.363,0.0997,-10.809,-21.778,0.0335,0.0371,120.085,78.271,0.116,0.0333
0.0367,0.981,0.558,0.249,0.719,0.0317,-5.113,-27.114,0.0267,0.0542,112.027,133.739,0.371,0.0855
0.741,0.992,0.556,0.235,0.322,0.166,-9.982,-19.632,0.0269,0.0347,97.993,101.182,0.391,0.0356
0.0113,0.916,0.806,0.189,0.608,0.0947,-7.008,-19.46,0.0659,0.0381,95.049,80.628,0.849,0.131
0.117,0.919,0.606,0.382,0.864,0.215,-7.504,-17.278,0.0919,0.0593,103.834,167.2,0.579,0.0664
0.711,0.938,0.69,0.322,0.407,0.0458,-7.739,-23.372,0.0297,0.0539,111.916,155.221,0.181,0.037
0.225,0.906,0.871,0.296,0.522,0.252,-5.601,-18.558,0.0419,0.0451,123.991,89.935,0.887,0.3
0.269,0.989,0.64,0.217,0.743,0.0378,-4.08,-25.256,0.0379,0.0332,122.035,79.774,0.361,0.0925
0.95,0.923,0.445,0.193,0.407,0.0647,-6.883,-21.631,0.0349,0.0453,131.479,89.354,0.231,0.0697
0.876,0.894,0.568,0.0718,0.316,0.00848,-9.662,-34.952,0.0257,0.0439,82.926,72.313,0.234,0.0468
0.159,0.991,0.577,0.43,0.756,0.421,-5.82,-12.791,0.115,0.0528,176.75,111.994,0.663,0.0473
0.746,0.984,0.427,0.147,0.262,0.0649,-8.541,-23.626,0.0276,0.048,104.085,178.969,0.228,0.0588
0.287,0.992,0.765,0.302,0.473,0.0369,-5.829,-28.444,0.0514,0.0385,119.992,74.565,0.34,0.0398
0.6,0.931,0.651,0.416,0.312,0.0509,-9.05,-22.124,0.0528,0.0478,109.986,126.779,0.324,0.353
0.00233,0.944,0.492,0.148,0.886,0.0722,-4.109,-25.217,0.0399,0.0427,167.029,87.882,0.653,0.0467
0.0756,0.874,0.51,0.74,0.424,0.324,-7.85,-18.033,0.0264,0.0449,146.093,128.022,0.125,0.319
0.664,0.984,0.675,0.229,0.418,0.0569,-8.709,-20.726,0.229,0.0416,144.051,129.258,0.515,0.0358
0.638,0.983,0.641,0.301,0.176,0.0679,-11.692,-21.203,0.0349,0.0358,76.031,111.058,0.297,0.222
0.195,0.921,0.435,0.225,0.658,0.0392,-8.179,-32.237,0.0661,0.0413,130.276,86.238,0.184,0.0705
0.0802,0.976,0.87,0.233,0.554,0.168,-5.828,-21.091,0.0635,0.0341,123.998,69.013,0.462,0.0635
0.739,0.984,0.479,0.376,0.368,0.0726,-7.784,-27.63,0.0341,0.0425,92.959,115.503,0.142,0.228
0.695,0.974,0.358,0.219,0.557,0.0937,-7.398,-25.246,0.059,0.0434,85.043,124.612,0.494,0.0347
0.705,0.984,0.611,0.187,0.409,0.0407,-8.573,-23.704,0.0339,0.0429,175.798,127.917,0.672,0.0312
0.64,0.868,0.506,0.108,0.367,0.0449,-9.12,-26.886,0.0288,0.0478,161.771,87.539,0.569,0.0347
0.79,0.933,0.621,0.446,0.186,0.334,-11.408,-13.377,0.0266,0.0545,104.596,92.753,0.387,0.362
0.679,0.931,0.734,0.138,0.431,0.0636,-9.436,-24.939,0.0266,0.0487,94.03,83.685,0.76,0.0388
0.031,0.99,0.61,0.2,0.926,0.0128,-4.843,-35.392,0.0479,0.0446,172.638,77.847,0.861,0.0572
0.652,0.942,0.533,0.175,0.389,0.0641,-11.163,-20.039,0.0259,0.0382,99.98,66.245,0.613,0.103
0.513,0.984,0.698,0.159,0.879,0.0401,-4.237,-27.516,0.034,0.0446,101.989,106.239,0.883,0.106
0.869,0.99,0.542,0.271,0.306,0.065,-6.898,-25.552,0.0284,0.0381,137.954,65.189,0.391,0.0481
0.24,0.609,0.683,0.178,0.687,0.153,-5.833,-19.188,0.0274,0.039,99.035,64.709,0.502,0.0387
0.416,0.96,0.704,0.368,0.423,0.242,-6.792,-17.463,0.0862,0.0382,113.962,87.959,0.451,0.177
0.479,0.976,0.665,0.138,0.771,0.111,-3.001,-18.272,0.0371,0.0451,124.949,80.465,0.679,0.0388
0.0941,0.92,0.607,0.146,0.471,0.0841,-7.211,-22.412,0.029,0.0474,139.955,76.471,0.315,0.117
0.751,0.946,0.739,0.395,0.365,0.447,-5.731,-11.529,0.0415,0.0375,96.095,154.958,0.699,0.542
0.0509,0.963,0.662,0.323,0.612,0.0267,-4.993,-27.416,0.0311,0.0746,113.95,72.541,0.177,0.0372
0.572,0.286,0.308,0.46,0.426,0.0544,-8.151,-28.27,0.0424,0.0407,143.97,127.87,0.182,0.251
0.467,0.832,0.472,0.0757,0.572,0.00462,-5.651,-28.646,0.0282,0.0419,81.388,78.818,0.361,0.0362
0.572,0.95,0.339,0.277,0.218,0.0309,-11.281,-25.117,0.0314,0.0356,127.576,82.567,0.327,0.123
0.0293,0.6,0.447,0.152,0.694,0.153,-4.637,-18.373,0.382,0.036,175.868,137.109,0.509,0.0905
0.857,0.963,0.407,0.308,0.147,0.217,-8.822,-21.248,0.0355,0.0429,141.284,108.887,0.0765,0.443
0.906,0.986,0.474,0.32,0.121,0.0244,-15.127,-27.769,0.0384,0.0458,97.219,108.577,0.424,0.109
0.481,0.878,0.792,0.292,0.306,0.202,-12.709,-22.054,0.0387,0.0328,91.964,97.508,0.759,0.501
0.886,0.985,0.494,0.214,0.119,0.165,-11.831,-20.702,0.0271,0.0352,81.805,101.073,0.264,0.2
0.391,0.933,0.528,0.519,0.624,0.184,-6.613,-25.942,0.0301,0.0624,80.051,99.956,0.374,0.772
0.458,0.873,0.394,0.205,0.322,0.0686,-10.794,-23.415,0.031,0.0462,104.892,90.779,0.375,0.0359
0.772,0.935,0.369,0.193,0.349,0.095,-8.067,-23.482,0.0321,0.0468,114.333,107.44,0.178,0.0419
0.742,0.954,0.373,0.24,0.266,0.275,-11.599,-14.968,0.032,0.0398,88.168,88.166,0.399,0.196
0.0522,0.977,0.449,0.206,0.585,0.072,-6.762,-21.188,0.0268,0.0469,139.627,77.852,0.203,0.0397
0.728,0.885,0.656,0.442,0.356,0.256,-11.945,-14.718,0.0366,0.0469,77.965,139.599,0.257,0.274
0.733,0.23,0.769,0.128,0.371,0.0155,-8.522,-34.675,0.0326,0.0418,100.001,72.931,0.653,0.04
0.0109,0.978,0.781,0.163,0.599,0.0315,-6.501,-27.596,0.0436,0.0345,120.053,173.43,0.608,0.084
0.185,0.964,0.633,0.364,0.792,0.189,-6.968,-22.125,0.149,0.0425,175.795,111.408,0.918,0.283
0.014,0.977,0.716,0.151,0.805,0.0215,-3.839,-31.319,0.0856,0.0496,142.886,136.79,0.719,0.0326
0.417,0.973,0.795,0.346,0.616,0.11,-5.281,-22.123,0.06,0.065,110.015,62.976,0.815,0.13
0.946,0.968,0.453,0.421,0.0531,0.231,-19.956,-16.359,0.0355,0.0507,79.863,99.568,0.354,0.123
0.301,0.972,0.442,0.0992,0.598,0.00845,-4.894,-35.6,0.032,0.0383,134.853,84.78,0.179,0.0374
0.00133,0.978,0.291,0.186,0.79,0.124,-5.683,-15.271,0.0363,0.0434,155.667,77.903,0.513,0.248
0.336,0.967,0.59,0.149,0.451,0.0759,-8.194,-22.096,0.0417,0.0389,129.729,97.379,0.334,0.0359
0.817,0.961,0.383,0.156,0.43,0.0776,-8.644,-22.433,0.0302,0.0411,107.005,135.133,0.174,0.0253
0.0279,0.912,0.774,0.292,0.847,0.164,-3.925,-17.792,0.121,0.0342,143.011,149.46,0.923,0.284
0.828,0.991,0.78,0.0992,0.209,0.0585,-12.2,-25.03,0.0334,0.05,97.009,86.308,0.644,0.0261
0.701,0.921,0.505,0.208,0.211,0.0728,-12.317,-21.736,0.0312,0.0385,81.119,82.973,0.74,0.0466
0.0109,0.989,0.449,0.282,0.499,0.0246,-4.735,-25.913,0.0262,0.0386,145.881,110.965,0.328,0.0384
0.0538,0.921,0.442,0.367,0.846,0.163,-5.214,-18.347,0.0764,0.0405,128.235,119.908,0.622,0.192
0.727,0.988,0.56,0.411,0.442,0.174,-7.224,-18.72,0.0243,0.0532,146.448,76.156,0.212,0.113
0.25,0.99,0.491,0.291,0.802,0.0759,-7.106,-24.078,0.0392,0.0413,119.25,65.252,0.472,0.213
0.348,0.963,0.381,0.341,0.594,0.247,-5.97,-16.986,0.0486,0.0457,143.86,77.208,0.273,0.0994
0.047,0.984,0.595,0.214,0.723,0.134,-8.256,-25.264,0.0349,0.0386,108.043,136.645,0.272,0.219
0.385,0.976,0.509,0.193,0.538,0.0457,-7.335,-25.857,0.0572,0.0394,75.089,103.086,0.244,0.0359
0.321,0.984,0.76,0.396,0.435,0.132,-7.605,-24.91,0.025,0.0462,88.012,108.89,0.562,0.0902
0.891,0.974,0.396,0.0902,0.305,0.065,-6.481,-19.963,0.0387,0.0396,165.398,74.297,0.251,0.0426
0.049,0.854,0.562,0.0841,0.891,0.0131,-4.88,-36.716,0.0413,0.0467,91.05,84.625,0.53,0.0336
0.1,0.993,0.461,0.0664,0.446,0.0487,-7.703,-27.084,0.0267,0.0463,139.868,71.51,0.375,0.0344
0.163,0.98,0.209,0.266,0.418,0.181,-8.74,-21.682,0.0338,0.0418,138.265,135.86,0.123,0.0753
0.044,0.842,0.666,0.147,0.78,0.382,-5.177,-16.166,0.0404,0.071,90.004,173.421,0.795,0.0577
0.821,0.869,0.52,0.294,0.308,0.134,-8.406,-21.31,0.0274,0.05,141.79,115.904,0.537,0.558
0.901,0.759,0.403,0.103,0.324,0.000978,-8.066,-48.755,0.0306,0.0506,94.067,91.656,0.359,0.0367
0.0129,0.976,0.472,0.265,0.671,0.169,-4.649,-16.814,0.029,0.036,82.952,81.013,0.0681,0.0399
0.133,0.985,0.568,0.155,0.686,0.0056,-4.901,-31.747,0.0903,0.0392,148.294,84.774,0.4,0.0473
0.118,0.988,0.388,0.483,0.694,0.129,-5.769,-24.051,0.0735,0.0793,145.434,120.997,0.365,0.927
0.547,0.985,0.545,0.155,0.455,0.00395,-8.562,-39.307,0.0259,0.0413,104.024,176.976,0.355,0.0478
0.105,0.973,0.731,0.166,0.572,0.0183,-7.889,-29.403,0.0445,0.0481,154.038,111.892,0.947,0.0366
0.0972,0.962,0.611,0.122,0.831,0.0963,-5.394,-21.942,0.394,0.0375,174.245,83.662,0.915,0.133
0.555,0.908,0.495,0.0862,0.501,0.0189,-6.351,-30.708,0.0295,0.0463,171.996,168.363,0.387,0.0368
0.104,0.99,0.529,0.289,0.607,0.25,-6.781,-20.109,0.0574,0.0372,101.966,144.783,0.238,0.039
0.424,0.948,0.591,0.13,0.415,0.0295,-6.936,-21.967,0.0437,0.0443,90.483,63.531,0.197,0.0309
0.618,0.898,0.515,0.33,0.378,0.0649,-8.264,-25.176,0.065,0.0443,91.883,83.398,0.536,0.34
0.675,0.766,0.554,0.491,0.41,0.464,-6.834,-12.974,0.0498,0.0505,88.196,81.582,0.358,0.187
0.0541,0.981,0.544,0.358,0.55,0.068,-6.756,-23.322,0.0248,0.0365,144.028,68.865,0.246,0.0379
0.919,0.99,0.458,0.198,0.149,0.0874,-8.64,-22.209,0.0391,0.041,113.632,79.432,0.165,0.0394
0.581,0.989,0.825,0.25,0.652,0.0799,-3.183,-28.647,0.0802,0.0396,95.977,67.911,0.931,0.557
0.91,0.996,0.325,0.537,0.18,0.0128,-10.647,-23.266,0.0311,0.0575,72.416,132.804,0.0997,0.0841
0.112,0.986,0.495,0.309,0.589,0.2,-4.747,-24.941,0.0274,0.0397,82.002,125.707,0.401,0.757
0.403,0.891,0.667,0.144,0.613,0.0868,-5.353,-23.338,0.0344,0.0387,91.024,94.463,0.47,0.0737
